decade,Fear_Category,count
1950,Body Horror,43
1950,Captivity & Voyeuristic Sadism,7
1950,Contagion & Mutation,5
1950,Ecological / Natural Menace,22
1950,Grief & Familial Trauma,44
1950,Institutional & Structural Control,18
1950,Invasion & Paranoia,94
1950,Isolation & Psychological Unraveling,4
1950,Persecution & Social Breakdown,3
1950,Possession & Loss of Agency,35
1950,Transgression & Moral Punishment,6
1960,Body Horror,36
1960,Captivity & Voyeuristic Sadism,53
1960,Contagion & Mutation,3
1960,Ecological / Natural Menace,5
1960,Grief & Familial Trauma,46
1960,Institutional & Structural Control,23
1960,Invasion & Paranoia,72
1960,Isolation & Psychological Unraveling,7
1960,Persecution & Social Breakdown,18
1960,Possession & Loss of Agency,59
1960,Transgression & Moral Punishment,11
1970,Body Horror,30
1970,Captivity & Voyeuristic Sadism,89
1970,Contagion & Mutation,7
1970,Ecological / Natural Menace,17
1970,Grief & Familial Trauma,31
1970,Institutional & Structural Control,22
1970,Invasion & Paranoia,78
1970,Isolation & Psychological Unraveling,10
1970,Persecution & Social Breakdown,36
1970,Possession & Loss of Agency,59
1970,Transgression & Moral Punishment,12
1980,Body Horror,50
1980,Captivity & Voyeuristic Sadism,93
1980,Contagion & Mutation,5
1980,Ecological / Natural Menace,5
1980,Grief & Familial Trauma,28
1980,Institutional & Structural Control,38
1980,Invasion & Paranoia,113
1980,Isolation & Psychological Unraveling,5
1980,Persecution & Social Breakdown,33
1980,Possession & Loss of Agency,76
1980,Transgression & Moral Punishment,2
1990,Body Horror,50
1990,Captivity & Voyeuristic Sadism,84
1990,Contagion & Mutation,12
1990,Ecological / Natural Menace,8
1990,Grief & Familial Trauma,22
1990,Institutional & Structural Control,35
1990,Invasion & Paranoia,124
1990,Isolation & Psychological Unraveling,3
1990,Persecution & Social Breakdown,26
1990,Possession & Loss of Agency,99
1990,Transgression & Moral Punishment,4
2000,Body Horror,55
2000,Captivity & Voyeuristic Sadism,134
2000,Contagion & Mutation,27
2000,Ecological / Natural Menace,34
2000,Grief & Familial Trauma,63
2000,Institutional & Structural Control,52
2000,Invasion & Paranoia,224
2000,Isolation & Psychological Unraveling,25
2000,Persecution & Social Breakdown,30
2000,Possession & Loss of Agency,67
2000,Transgression & Moral Punishment,9
2010,Body Horror,73
2010,Captivity & Voyeuristic Sadism,233
2010,Contagion & Mutation,34
2010,Ecological / Natural Menace,49
2010,Grief & Familial Trauma,93
2010,Institutional & Structural Control,77
2010,Invasion & Paranoia,392
2010,Isolation & Psychological Unraveling,48
2010,Persecution & Social Breakdown,73
2010,Possession & Loss of Agency,162
2010,Transgression & Moral Punishment,4
2020,Body Horror,61
2020,Captivity & Voyeuristic Sadism,170
2020,Contagion & Mutation,24
2020,Ecological / Natural Menace,44
2020,Grief & Familial Trauma,110
2020,Institutional & Structural Control,71
2020,Invasion & Paranoia,280
2020,Isolation & Psychological Unraveling,53
2020,Persecution & Social Breakdown,59
2020,Possession & Loss of Agency,162
2020,Transgression & Moral Punishment,15
