tmdb_id_tmdb,imdb_id,title,original_title,original_language,overview,poster_path,release_date,genres_tmdb_names,runtime,revenue,popularity_tmdb,averageRating,numVotes,primaryTitle,originalTitle,genres,startYear,tmdb_id_imdb,tmdb_id
438631,tt1160419,Dune,Dune,en,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,2021-09-15,"Science Fiction, Adventure",155,407573628,16.0354,8.0,986464,Dune: Part One,Dune: Part One,"Action,Adventure,Drama",2021.0,438631,438631
634649,tt10872600,Spider-Man: No Way Home,Spider-Man: No Way Home,en,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,2021-12-15,"Action, Adventure, Science Fiction",148,1921847111,17.8418,8.2,985322,Spider-Man: No Way Home,Spider-Man: No Way Home,"Action,Adventure,Fantasy",2021.0,634649,634649
872585,tt15398776,Oppenheimer,Oppenheimer,en,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,2023-07-19,"Drama, History",181,952000000,17.5178,8.3,954434,Oppenheimer,Oppenheimer,"Biography,Drama,History",2023.0,872585,872585
414906,tt1877830,The Batman,The Batman,en,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",/74xTEgt7R36Fpooo50r9T25onhq.jpg,2022-03-01,"Crime, Mystery, Thriller",177,772319315,13.7219,7.8,901437,The Batman,The Batman,"Action,Crime,Drama",2022.0,414906,414906
361743,tt1745960,Top Gun: Maverick,Top Gun: Maverick,en,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,2022-05-21,"Action, Drama",131,1488732821,16.3041,8.2,811762,Top Gun: Maverick,Top Gun: Maverick,"Action,Drama",2022.0,361743,361743
693134,tt15239678,Dune: Part Two,Dune: Part Two,en,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",/1pdfLvkbY9ohJlCjQH2CZjjYVvJ.jpg,2024-02-27,"Science Fiction, Adventure",167,714844358,13.4399,8.4,677388,Dune: Part Two,Dune: Part Two,"Action,Adventure,Drama",2024.0,693134,693134
646380,tt11286314,Don't Look Up,Don't Look Up,en,Two astronomers go on a media tour to warn humankind of a planet-killing comet hurtling toward Earth. The response from a distracted world: Meh.,/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg,2021-12-08,"Comedy, Science Fiction",138,791863,5.5439,7.2,653505,Don't Look Up,Don't Look Up,"Comedy,Drama,Sci-Fi",2021.0,646380,646380
577922,tt6723592,Tenet,Tenet,en,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",/aCIFMriQh8rvhxpN1IWGgvH0Tlg.jpg,2020-08-22,"Action, Thriller, Science Fiction",150,365304105,11.1541,7.3,647667,Tenet,Tenet,"Action,Sci-Fi,Thriller",2020.0,577922,577922
346698,tt1517268,Barbie,Barbie,en,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,2023-07-19,"Comedy, Adventure",114,1445638421,18.5604,6.8,631368,Barbie,Barbie,"Adventure,Comedy,Fantasy",2023.0,346698,346698
545611,tt6710474,Everything Everywhere All at Once,Everything Everywhere All at Once,en,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",/u68AjlvlutfEIcpmbYpKcdi09ut.jpg,2022-03-24,"Action, Adventure, Science Fiction",140,139200000,9.3437,7.8,596337,Everything Everywhere All at Once,Everything Everywhere All at Once,"Action,Adventure,Comedy",2022.0,545611,545611
900783,tt10811166,The Kashmir Files,द कश्मीर फ़ाइल्स,hi,"Based on a true tragedy, the emotionally triggering film sheds light on the plight of Kashmiri Pandits (Hindus), a religious minority in the 1990s Kashmir valley, who were compelled to flee their homes by the Islamic militants.",/k079zl4TcFVK0n5CypQeYqSkwdU.jpg,2022-03-11,"History, Drama",170,0,3.9078,8.5,577661,The Kashmir Files,The Kashmir Files,Drama,2022.0,900783,900783
76600,tt1630029,Avatar: The Way of Water,Avatar: The Way of Water,en,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022-12-14,"Action, Adventure, Science Fiction",192,2330224914,21.924,7.5,550670,Avatar: The Way of Water,Avatar: The Way of Water,"Action,Adventure,Fantasy",2022.0,76600,76600
533535,tt6263850,Deadpool & Wolverine,Deadpool & Wolverine,en,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,2024-07-24,"Action, Comedy, Science Fiction",128,1338073645,25.9764,7.5,536785,Deadpool & Wolverine,Deadpool & Wolverine,"Action,Adventure,Comedy",2024.0,533535,533535
